Transaction Date,Location,SV&C Plan,Primary Key,Patron Name,Tran Amt,Amt Remain,Tax,Period,,,Stat
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200001,Doe John,1.50,250.00,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200002,Chen Guomei,1.50,248.50,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200003,Davis Miles,1.50,247.00,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200004,Evans Bill,1.50,45.50,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200005,Smith Jane,1.50,245.50,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200006,Simpson Sydney,1.50,244.00,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200007,Wang Mocenfo,1.50,44.00,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200008,Garcia Maria,1.50,242.50,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200009,Doe John,3.05,239.45,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200010,Chen Guomei,3.05,236.40,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200011,Davis Miles,3.05,233.35,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200012,Evans Bill,3.05,40.95,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200013,Smith Jane,3.05,230.30,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200014,Simpson Sydney,3.05,227.25,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200015,Wang Mocenfo,3.05,37.90,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200016,Garcia Maria,3.05,224.20,0.00,1 - Breakfast,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200017,Doe John,3.50,220.70,0.00,2 - Lunch,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200018,Chen Guomei,3.50,217.20,0.00,2 - Lunch,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200019,Davis Miles,3.50,213.70,0.00,2 - Lunch,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200020,Evans Bill,3.50,34.40,0.00,2 - Lunch,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200021,Smith Jane,3.50,210.20,0.00,2 - Lunch,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200022,Simpson Sydney,8.03,202.17,0.00,3 - Afternoon,,,C
3-10-2026,1499 Lib_Sup,45 DEPT.,200023,Wang Mocenfo,8.03,26.37,0.00,3 - Afternoon,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200024,Garcia Maria,8.03,194.14,0.00,3 - Afternoon,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200025,Doe John,8.03,186.11,0.00,3 - Afternoon,,,C
3-10-2026,1499 Lib_Sup,35 RETRIEVER,200026,Chen Guomei,8.03,178.08,0.00,3 - Afternoon,,,C
